CrewID,Name,Role,FlightNumber,Certification,FlightHours,DutyHours,Legal,ViolationReason
5a150cd4-74c8-48ba-92cb-44d4205744e8,Reese Smith,Captain,UA5735,A321,3.9,5.4,True,
a0604c1b-d9e5-4606-8b46-e634c7276546,Jamie Smith,First Officer,UA5735,B787,3.9,5.4,True,
4ec46c98-9262-4d59-922d-4ed41d4f7d61,Alex Lee,Flight Attendant,UA5735,A321,3.9,5.4,True,
42652c93-be6c-4003-abde-b664d6a8180d,Jamie Lee,Flight Attendant,UA5735,CRJ900,3.9,5.4,True,
e2b26264-d6b6-42ee-9b21-38aa527d6e1e,Taylor Garcia,Flight Attendant,UA5735,B787,3.9,5.4,True,
7f332316-25da-4399-bb84-8b8d09c64c23,Casey Davis,Flight Attendant,UA5735,B737,3.9,5.4,True,
73d02ca7-77b2-46c2-8312-668b3e4098a8,Jordan Johnson,Captain,UA6025,B737,4.3,5.8,True,
3e1ee32b-d01f-4a68-84c0-3c72be49caa6,Casey Lee,First Officer,UA6025,CRJ900,4.3,5.8,True,
a6c078c5-84a6-486b-b3bf-b1cd03d8640a,Jordan Lee,Flight Attendant,UA6025,A320,4.3,5.8,True,
8a352e0d-a1f5-4e90-9f45-0ca146640514,Jamie Smith,Flight Attendant,UA6025,B737,4.3,5.8,True,
d841cff9-3f28-444f-9d12-950e7cb0186a,Alex Lee,Flight Attendant,UA6025,CRJ900,4.3,5.8,True,
12e9eb79-a4b1-4ee3-b2bc-87d7487c5745,Casey Johnson,Captain,UA4654,B737,2.4,3.9,True,
bc5cae64-8731-471b-a345-069f4dc9e5aa,Reese Smith,First Officer,UA4654,A320,2.4,3.9,True,
798e29ec-bafe-404f-b889-752bd49b8302,Jordan Garcia,Flight Attendant,UA4654,B737,2.4,3.9,True,
ea764687-ecf6-4ecf-9c66-0f47bb281d1f,Alex Brown,Flight Attendant,UA4654,A320,2.4,3.9,True,
d7933a79-bfdd-4fe2-a081-63ad44329082,Taylor Garcia,Flight Attendant,UA4654,A321,2.4,3.9,True,
86fed72e-fced-4ba7-bf75-5f2ed5e20b82,Taylor Martinez,Flight Attendant,UA4654,B787,2.4,3.9,True,
dbb77972-f21f-4995-8951-552464beb541,Casey Garcia,Flight Attendant,UA4654,B787,2.4,3.9,True,
47f22ff8-d920-483f-a6bc-ba218e8d32ed,Morgan Brown,Flight Attendant,UA4654,CRJ900,2.4,3.9,True,
5a150cd4-74c8-48ba-92cb-44d4205744e8,Reese Smith,Captain,UA1269,B787,7.63,10.63,True,
a0604c1b-d9e5-4606-8b46-e634c7276546,Jamie Smith,First Officer,UA1269,A321,7.63,10.63,True,
4ec46c98-9262-4d59-922d-4ed41d4f7d61,Alex Lee,Flight Attendant,UA1269,B737,7.63,10.63,True,
42652c93-be6c-4003-abde-b664d6a8180d,Jamie Lee,Flight Attendant,UA1269,A320,7.63,10.63,True,
e2b26264-d6b6-42ee-9b21-38aa527d6e1e,Taylor Garcia,Flight Attendant,UA1269,CRJ900,7.63,10.63,True,
7f332316-25da-4399-bb84-8b8d09c64c23,Casey Davis,Flight Attendant,UA1269,A321,7.63,10.63,True,
798e29ec-bafe-404f-b889-752bd49b8302,Jordan Garcia,Flight Attendant,UA1269,B787,6.13,9.13,True,
d37c2a78-42ff-4ea6-988d-bd6597e8f778,Morgan Smith,Captain,UA9225,B787,4.73,6.23,True,
3c06d598-7133-4be0-8509-886338f76d19,Jamie Lee,First Officer,UA9225,A320,4.73,6.23,True,
0b1d6ed1-9403-4ee8-a60c-24cf99ca0227,Casey Garcia,Flight Attendant,UA9225,B737,4.73,6.23,True,
ccb648b3-9c6d-4959-8080-f98c38b450b0,Morgan Johnson,Flight Attendant,UA9225,A321,4.73,6.23,True,
9cbd47b4-e159-4a49-8845-a3a5a0fd45d9,Taylor Brown,Flight Attendant,UA9225,A320,4.73,6.23,True,
a54a0d59-931d-491a-9d2a-ad511792f529,Casey Garcia,Flight Attendant,UA9225,B787,4.73,6.23,True,
f1de06f8-ccb7-4869-b6bf-694898900caa,Taylor Smith,Flight Attendant,UA9225,A321,4.73,6.23,True,
60fd39f5-82a1-4320-984f-50e5c33d0d33,Avery Brown,Flight Attendant,UA9225,A320,4.73,6.23,True,
c9667951-f1a4-484f-98d4-f05b5b8d493c,Morgan Martinez,Captain,UA9392,A320,2.22,3.72,True,
2df4c283-4b3c-49a3-8c42-8747ffebbf5e,Alex Martinez,First Officer,UA9392,A321,2.22,3.72,True,
49f0985a-8992-46dd-b743-05bed0a6c0d5,Reese Lee,Flight Attendant,UA9392,A320,2.22,3.72,True,
6edb4430-b66c-44c6-9d15-ae3ef7e339c6,Alex Lee,Flight Attendant,UA9392,A320,2.22,3.72,True,
